Timestamp,Which of the following do you use as your primary operating system?,"If you answered Linux to the previous question, which distro and desktop environment do you use?",What storage medium is your Freelancer install on?,Do you play Freelancer using a multi-monitor setup?,Which of the following utilities do you routinely use to get information about Discovery?,"If you use FLCompanion whilst playing, what do you use it for?","Would you find a local, persistent database keeping track of your accounts and characters useful?",Would clipboard (copy/paste) functionality within Freelancer interest you?,Are there any commands that you feel are missing from Discovery?,Or any other utilities you feel would be useful in an application to assist players of Discovery?
2017/02/04 1:16:34 AM GMT+1,Windows 7,,SDD,No,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/);Mactan Network (http://lh.discoverygc.com/),,Yes,Yes,,Ingame ticket option
2017/02/04 1:18:59 AM GMT+1,Linux,"KDE neon, Plasma",SDD,Yes,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLCompanion;FLStat;Mactan Network (http://lh.discoverygc.com/),"Navigation: Calculating/plotting routes;Navigation: Finding the locations of jump holes, bases or other objects;Trading: I usually have a specific destination system in mind and want to find the best NPC commodity to take there",Yes,Yes,,
2017/02/04 1:19:09 AM GMT+1,Windows 10,,HDD,Yes,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/),,Yes,Yes,"For certain ID's, for example, Spazzy often makes these nom sounds with his commands, I think Nomads and wilds should be able to do that too.",
2017/02/04 1:31:09 AM GMT+1,Windows 7,,HDD,No,FLCompanion;FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/),Navigation: Calculating/plotting routes,Yes,Yes,,
2017/02/04 1:59:30 AM GMT+1,Windows 10,,HDD,No,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/);Mactan Network (http://lh.discoverygc.com/),Trading: I usually have a specific destination system in mind and want to find the best NPC commodity to take there,Yes,Yes,N/A,
2017/02/04 2:06:48 AM GMT+1,Windows 8.1,,HDD,No,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/),,Maybe,Maybe,,A program that calculates trade routes globally without being confined to a single base. 
2017/02/04 3:30:56 AM GMT+1,Windows 7,,HDD,No,FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/);Mactan Network (http://lh.discoverygc.com/),,Yes,Yes,A more intuitive command than /pos to relay your position to others when off the grid would be nice.,"Forum access to RP sections during flight. ""Check the neural net"" no longer meaning ""tab out and boot up a browser"" would be incredible."
2017/02/04 3:37:29 AM GMT+1,Windows 7,,HDD,No,DiscoveryGC Wiki (http://www.discoverygc.com/wiki/);FLCompanion;FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/);Mactan Network (http://lh.discoverygc.com/),"Trading: I follow whatever trade route FLCompanion says is the best from my current base, without aiming for a specific destination;Trading: I usually have a specific destination system in mind and want to find the best NPC commodity to take there",Yes,Yes,Shortcuts to long-winded console commands (such as /allowdock) where the time it takes for you to type it can make the difference between your friend surviving or being blown up.,Discovery Turret Steer Tool
2017/02/04 3:42:07 AM GMT+1,Windows 10,,HDD,No,FLCompanion;FLStat,"Navigation: Calculating/plotting routes;Navigation: Finding the locations of jump holes, bases or other objects;Trading: I usually have a specific destination system in mind and want to find the best NPC commodity to take there",Yes,Maybe,not that i can think of,Yes - knowing where to sell Ores.
2017/02/04 4:35:07 AM GMT+1,Windows 10,,HDD,No,FLStat;Interactive Navmap (http://space.discoverygc.com/navmap/),,Maybe,Maybe,,
